SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,overwritebatch,overwritebatch,overwritebatch,overwritebatch
1,1,0,0,0,0,0,1,0,0,1,1,1,1,19.525,19.937,17.65,20.292
1,1,0,1,0,0,1,0,0,1,0,1,0,0,19.717,19.714,18.002,20.093
0,0,0,0,0,1,0,1,1,0,0,1,0,1,19.607,20.143,17.747,20.127
0,1,1,1,1,0,0,0,0,1,0,0,1,1,18.818,19.108,17.645,19.442
1,0,0,0,1,1,0,0,1,1,1,0,0,0,19.055,19.198,17.586,19.187
0,1,1,1,0,0,0,0,0,0,1,0,1,1,19.048,18.923,17.004,19.027
1,1,1,1,1,0,0,1,0,1,1,0,1,0,18.993,19.078,17.838,19.194
1,1,0,1,0,0,0,0,1,1,0,0,1,1,18.967,19.143,17.585,19.23
0,0,1,0,0,0,1,0,1,1,0,1,0,0,19.8,19.746,17.914,20.164
0,1,1,0,1,1,0,1,1,0,0,1,1,0,19.631,19.745,17.587,20.356
1,0,0,1,1,0,1,1,0,0,0,1,1,0,19.546,19.954,17.806,20.009
1,1,1,0,0,0,1,0,1,0,0,0,0,1,18.88,19.014,17.081,19.881
0,0,0,0,1,0,0,0,1,0,1,0,1,0,18.903,18.855,17.011,19.269
0,0,0,0,1,0,0,0,0,1,1,1,1,0,19.652,19.941,17.862,20.132
1,0,1,1,1,1,0,1,0,0,0,1,0,0,20.028,20.134,17.32,20.768
0,1,0,1,0,0,0,0,1,0,0,0,0,1,19.447,19.367,17.034,19.344
0,1,0,1,0,0,0,0,0,0,1,1,0,1,19.605,19.409,17.372,19.943
1,1,0,1,1,1,0,1,0,0,0,0,0,0,19.137,18.874,17.208,19.384
0,1,1,0,0,0,1,0,0,1,1,1,0,0,19.922,20.045,18.017,19.98
0,1,1,0,0,0,0,1,0,1,1,0,0,1,19.104,18.982,17.835,19.212
1,1,1,0,1,1,0,0,1,0,1,1,1,1,19.677,19.502,17.41,20.064
0,0,0,0,1,0,1,0,1,0,1,0,1,0,18.861,18.839,16.956,19.415
0,0,0,1,1,1,0,0,0,0,0,1,1,1,19.418,19.952,17.287,19.886
1,0,0,0,1,0,1,1,0,0,1,0,1,0,18.804,19.144,17.145,19.199
1,0,0,1,0,1,0,1,1,0,0,0,1,0,19.031,18.852,17.001,19.74
0,1,1,0,0,0,1,1,1,1,1,1,0,0,19.587,19.998,17.889,20.013
1,0,1,1,0,0,0,0,1,1,1,0,1,0,19.126,19.29,17.641,19.241
0,0,0,1,1,0,0,1,0,1,1,0,1,1,19.543,19.03,17.836,19.462
1,1,1,1,1,0,0,1,1,1,0,0,1,0,19.254,18.936,17.691,19.697
1,0,1,0,0,1,1,1,1,0,1,1,0,1,19.957,19.844,17.397,19.675
0,1,0,1,1,1,0,0,1,1,0,0,1,0,19.051,19.118,17.688,19.037
0,1,1,1,1,1,1,0,1,1,1,0,1,0,18.981,18.992,17.926,19.405
0,1,0,1,0,0,1,1,1,1,1,0,0,0,19.011,19.116,17.978,19.132
1,0,1,1,1,0,1,0,1,1,0,1,1,0,19.565,20.214,17.825,19.888
1,0,0,1,1,1,1,0,0,0,1,1,1,0,19.749,19.682,17.836,20.201
1,0,0,1,0,0,1,1,0,0,0,0,0,1,18.932,19.124,17.046,19.308
1,1,1,0,0,1,0,0,1,0,1,0,1,1,18.925,19.006,17.123,19.172
0,0,1,1,0,1,0,1,1,1,0,0,0,0,19.337,18.901,17.587,19.452
1,0,0,0,1,1,0,1,0,1,1,1,1,0,19.929,19.781,17.987,19.996
1,1,1,0,0,0,0,1,0,0,0,0,0,1,19.237,19.104,17.213,19.303
0,0,1,0,1,1,1,0,0,0,1,0,0,0,18.678,18.663,17.141,19.319
1,1,1,0,0,0,0,0,0,1,1,0,0,0,19.015,19.546,17.58,19.649
0,0,0,0,0,1,1,1,1,0,0,1,1,0,20.309,19.757,17.343,20.254
0,0,1,1,1,0,1,1,0,0,1,0,0,0,18.978,18.937,17.141,19.08
0,1,0,0,0,1,1,1,1,1,0,1,1,0,19.95,19.768,18.271,20.146
0,0,0,1,0,0,0,0,0,1,1,0,0,1,18.966,19.766,17.723,19.231
1,0,0,0,1,1,0,1,0,1,1,1,0,0,19.801,19.612,17.922,20.199
0,0,1,1,0,0,1,1,0,1,1,1,1,0,19.85,19.733,17.777,20.079
0,1,1,1,1,0,1,0,0,0,1,0,1,0,18.884,19.192,17.318,19.048
0,0,0,1,0,0,0,0,0,1,0,1,1,0,19.877,19.832,17.883,20.282
0,1,0,1,0,0,1,0,0,1,1,0,1,1,19.232,19.032,17.513,19.362
0,0,1,1,1,0,1,0,1,1,1,0,1,0,18.909,19.232,17.51,19.269
0,0,0,1,1,0,1,0,1,1,0,0,1,0,18.939,19.383,17.773,19.602
0,0,1,0,0,0,0,0,1,0,1,0,1,1,18.896,18.814,17.104,19.435
0,0,1,0,1,0,1,0,0,0,0,0,0,1,19.119,19.344,17.069,19.205
0,1,1,1,1,1,1,0,1,1,0,1,1,1,19.85,20.054,17.799,20.545
1,1,0,1,0,0,0,1,0,1,0,1,0,0,20.317,19.658,17.813,19.978
1,0,1,1,0,0,0,1,1,1,1,0,0,0,19.46,19.232,17.649,19.294
1,1,0,0,1,1,1,0,0,0,0,1,1,0,19.667,19.966,17.335,20.063
1,0,0,1,1,1,1,0,1,1,1,1,0,1,19.558,20.153,17.885,20.046
0,0,0,0,0,1,0,1,0,0,0,0,0,1,18.786,19.017,17.065,19.228
1,1,1,1,1,1,1,1,1,1,1,0,0,1,18.989,19.157,17.906,20.039
0,0,1,1,0,0,1,1,0,0,1,1,0,0,19.654,19.813,17.403,19.865
1,1,1,0,1,0,1,1,1,1,0,1,0,0,19.671,19.813,18.102,20.323
0,0,0,1,1,0,0,0,0,1,1,0,1,0,18.91,19.058,17.597,19.406
1,1,0,0,1,0,0,0,1,0,0,1,1,0,19.833,19.74,17.645,19.931
0,1,0,1,1,0,0,0,0,0,0,1,1,0,19.918,19.822,17.536,20.024
1,0,0,1,0,1,0,0,1,1,1,1,1,0,20.206,19.745,17.978,20.077
1,1,1,1,1,1,0,0,1,1,1,0,0,0,19.508,19.103,17.618,19.375
1,0,1,0,1,1,0,0,1,1,1,1,0,1,20.047,20.339,18.068,20.279
0,0,1,1,0,1,0,1,0,0,1,1,0,1,19.379,19.799,17.365,20.178
0,1,0,1,0,0,1,1,1,1,1,0,1,1,19.014,18.905,17.481,19.175
1,0,0,1,1,1,1,0,1,0,0,1,1,0,20.12,19.855,17.407,20.06
1,0,0,1,1,0,1,0,1,1,0,1,1,0,19.944,20.227,17.844,20.184
0,0,1,1,0,0,0,0,1,1,0,0,1,0,19.329,19.348,17.728,19.372
0,0,0,0,1,1,1,1,1,0,1,0,1,0,19.185,18.91,17.07,19.034
1,0,0,1,1,1,1,1,1,0,1,0,0,1,19.016,19.447,17.142,19.24
1,1,0,0,0,1,0,0,1,0,0,1,0,0,19.69,20.151,17.508,19.991
1,0,1,1,0,0,0,0,0,0,1,1,0,0,19.695,19.791,17.727,20.169
1,0,1,0,1,0,0,0,1,0,0,1,0,0,19.455,19.436,17.484,20.106
0,1,1,1,1,1,0,1,1,0,0,0,0,0,18.738,19.031,17.046,19.201
0,1,0,0,0,1,0,0,1,0,1,1,0,0,19.805,19.851,17.539,20.242
1,0,0,0,1,1,0,0,0,1,1,0,0,1,19.133,18.794,17.655,19.242
1,1,0,1,1,0,0,1,1,0,0,1,0,0,19.947,20.152,17.413,20.182
1,0,1,1,0,1,0,1,1,1,1,0,1,1,19.103,19.283,17.723,19.326
0,1,1,0,1,1,1,0,0,1,1,0,0,1,19.322,18.9,17.681,19.274
1,1,0,1,0,0,1,1,0,0,1,1,1,0,19.738,19.664,17.458,19.834
0,1,0,1,1,0,1,1,0,1,1,0,1,0,19.137,19.24,17.904,19.442
1,0,0,1,1,0,1,1,0,1,0,1,0,1,19.522,20.016,17.925,20.476
1,1,1,0,1,0,0,0,1,0,0,0,0,1,19.146,18.828,17.236,20.035
0,0,1,1,0,0,1,0,0,1,0,1,0,1,19.651,19.622,17.696,20.611
0,1,1,0,0,0,1,1,0,0,1,0,0,1,18.787,19.19,17.269,19.409
0,1,1,1,1,1,0,0,0,1,1,1,0,1,19.616,19.525,17.827,20.233
1,0,1,0,0,0,1,0,1,0,0,1,0,0,19.525,19.594,17.383,19.911
0,0,1,0,0,1,1,0,1,0,0,0,1,1,18.91,19.033,17.14,19.391
1,1,1,0,0,0,0,1,0,0,1,1,1,1,19.439,19.696,17.786,19.811
0,0,0,1,0,1,1,1,1,1,0,0,0,0,19.045,19.008,17.727,19.388
0,1,1,0,0,0,0,0,1,0,1,1,1,1,19.503,19.571,17.515,19.969
0,1,0,0,0,0,0,1,0,1,1,1,1,0,19.69,20.168,17.84,19.98
0,1,1,1,1,0,1,1,1,1,1,0,0,0,19.157,19.54,17.566,19.204
0,0,0,1,1,0,0,0,0,1,1,1,0,1,20.208,19.683,17.842,20.028
1,0,1,0,0,1,0,0,0,0,0,0,1,1,19.276,19.047,17.177,19.201
1,0,1,0,1,1,0,0,1,1,0,1,0,0,20.19,19.894,18.078,20.229
0,1,1,1,0,1,0,0,0,0,0,1,0,0,19.735,19.724,17.348,19.755
1,0,1,1,0,1,0,1,0,0,0,0,1,1,19.035,19.016,17.502,19.522
0,1,1,1,1,0,0,1,1,1,1,0,0,0,18.905,18.981,17.578,19.731
0,1,0,1,1,0,1,0,0,1,1,0,1,0,18.941,19.437,17.625,19.423
0,0,1,1,1,0,0,1,1,1,1,0,1,0,19.309,19.052,17.583,19.337
1,0,1,1,1,1,1,1,0,1,1,0,1,0,19.091,19.127,17.686,19.303
0,0,1,1,1,0,1,0,0,1,1,1,0,1,19.905,19.77,17.894,19.866
1,1,0,0,0,0,1,1,1,1,1,0,1,0,19.222,19.164,17.563,19.389
0,1,1,1,0,1,0,0,0,0,1,1,1,0,19.704,19.581,17.76,19.958
1,1,1,1,0,1,1,1,1,1,1,0,1,1,19.25,19.073,17.62,19.175
1,1,1,0,0,0,1,0,0,1,1,0,1,1,18.858,19.066,17.634,19.429
1,0,0,0,0,1,1,1,1,1,0,1,1,0,19.878,20.048,18.367,20.392
1,1,0,1,1,0,1,1,0,1,0,1,1,1,19.714,19.944,17.827,20.281
1,0,1,1,1,1,0,0,1,0,1,0,0,1,19.096,19.297,17.458,19.481
0,0,1,1,0,0,1,0,0,0,1,0,1,0,18.8,18.614,17.149,19.043
1,1,0,1,0,1,0,1,0,1,0,0,0,0,19.2,19.144,17.619,19.378
1,1,1,0,0,1,1,0,1,0,0,1,0,0,20.867,19.909,17.539,20.039
1,1,0,1,0,1,1,0,1,1,0,1,0,1,19.925,19.796,17.922,20.13
1,0,1,0,1,0,1,1,0,1,0,1,1,0,19.95,19.907,17.902,20.258
1,0,1,1,0,1,0,0,1,0,1,1,0,1,19.917,19.748,17.882,20.157
1,0,0,0,1,0,0,1,0,1,1,0,1,1,19.185,19.229,17.653,19.593
1,0,0,1,0,0,0,1,1,1,1,0,0,0,19.468,18.993,18.002,19.839
1,0,1,0,0,1,1,1,1,1,1,0,0,1,19.073,19.175,17.731,19.426
1,0,0,0,0,1,0,1,0,0,0,0,1,0,19.167,19.094,16.986,19.395
0,1,1,1,1,1,0,0,1,1,0,0,1,1,19.018,19.008,17.674,19.282
1,1,1,1,1,1,0,1,0,0,0,1,1,0,19.586,19.925,17.401,19.6
1,1,1,1,0,0,1,0,1,1,0,0,1,0,19.35,19.228,17.866,19.22
0,1,0,1,0,0,1,0,1,0,0,1,0,0,19.871,19.802,17.798,19.897
0,1,0,1,1,0,1,0,1,1,1,0,0,1,19.069,18.971,17.485,19.299
0,0,1,1,0,1,0,1,1,0,0,0,0,0,19.055,19.137,17.294,19.574
0,0,1,1,0,1,0,1,0,1,0,0,1,0,19.016,19.067,17.525,19.427
0,0,0,1,1,0,0,0,0,1,1,0,1,0,18.979,19.259,17.832,19.708
0,1,1,0,1,0,0,1,0,0,0,1,1,0,19.694,19.89,17.613,20.101
0,1,1,1,0,1,0,1,0,0,1,1,1,1,19.774,19.874,17.758,19.927
1,1,0,0,1,1,1,0,0,1,1,1,1,1,19.605,19.578,17.879,20.128
1,1,1,0,0,0,0,1,1,0,0,1,1,1,19.876,19.714,17.34,20.031
1,1,1,1,1,1,0,1,1,0,0,0,1,0,19.005,19.456,17.088,19.439
1,1,0,0,0,1,0,1,1,0,1,1,1,0,19.578,19.737,17.5,20.053
0,1,0,0,0,1,0,1,1,0,0,1,0,0,20.385,19.741,17.442,19.912
1,0,1,1,1,1,0,1,1,0,0,1,1,1,19.519,20.102,17.397,20.038
1,0,0,1,1,1,0,0,1,0,1,0,1,1,19.053,19.076,17.415,19.093
0,1,0,1,1,1,0,1,1,0,0,1,1,0,19.794,19.639,17.351,20.052
1,1,1,1,1,1,1,1,1,0,0,0,1,0,19.211,18.892,17.105,19.037
0,0,1,1,1,1,0,1,1,1,1,1,1,1,19.53,19.884,17.828,19.976
0,1,1,0,0,0,0,0,0,1,0,1,1,1,19.6,19.882,17.912,19.856
1,0,1,0,0,0,1,1,1,0,0,0,0,1,18.924,18.96,17.103,19.728
1,1,0,1,0,0,0,0,0,0,0,0,1,0,18.763,19.153,17.018,19.043
0,1,1,0,1,1,1,1,1,1,0,0,1,1,19.021,18.899,17.61,19.717
1,1,1,1,1,0,1,0,1,0,0,0,1,1,18.967,19.22,17.242,19.393
1,1,1,0,0,1,0,0,0,1,1,1,0,0,19.835,19.772,17.982,20.028
0,1,1,1,1,0,1,0,0,1,1,1,1,0,19.937,20.037,17.875,20.025
1,1,1,1,1,0,1,0,1,1,0,1,1,0,19.877,19.839,17.967,20.402
1,0,0,0,1,0,1,1,1,1,0,0,0,0,19.082,19.333,17.8,19.321
0,1,0,0,0,1,0,1,1,0,0,1,1,1,19.824,19.893,17.843,19.9
0,1,0,0,1,0,0,1,1,1,0,0,1,1,19.193,18.84,17.737,19.368
0,1,1,0,0,0,0,0,1,1,0,1,0,1,19.887,19.751,18.224,19.789
1,0,0,1,1,1,0,1,0,1,1,1,1,0,19.567,20.324,17.98,20.168
0,0,1,0,1,0,0,1,1,1,1,0,1,0,19.916,19.174,17.606,19.4
0,1,1,1,1,0,0,1,1,1,1,1,1,1,19.457,19.576,17.952,19.898
1,0,0,1,1,1,0,1,0,1,1,1,0,1,19.95,19.679,18.016,20.358
0,0,0,1,0,0,1,0,0,1,1,1,1,1,19.745,19.762,17.981,20.172
1,0,0,0,1,1,1,0,0,0,0,0,0,0,18.855,19.471,17.224,19.535
1,1,0,1,0,1,1,0,1,1,0,0,0,1,19.333,19.074,18.013,19.667
1,1,1,0,1,0,1,1,0,0,1,1,0,1,19.817,19.534,17.467,20.176
0,0,1,0,0,0,0,0,1,0,0,0,0,1,18.999,19.09,17.099,19.237
1,1,0,1,1,0,1,0,1,1,1,1,1,1,20.004,19.616,17.947,19.956
0,0,1,1,1,1,0,1,0,0,0,1,0,1,19.535,19.488,17.6,20.101
0,0,1,1,1,1,1,0,1,0,0,1,0,0,19.792,19.818,17.56,19.826
0,1,1,1,0,0,0,0,0,1,1,1,1,1,19.839,20.203,17.905,20.219
0,1,1,0,1,1,0,0,1,1,1,1,0,1,19.872,19.826,18.119,20.004
1,0,0,1,1,1,1,0,0,1,0,1,0,0,20.423,20.22,18.129,20.462
0,1,0,1,1,1,1,1,1,0,0,1,1,1,19.702,19.555,17.448,20.283
1,0,1,1,0,0,0,0,0,0,1,1,1,0,19.875,19.839,17.636,20.113
1,1,0,0,0,1,0,1,0,1,1,1,0,1,19.924,20.088,17.945,20.127
0,1,0,0,0,0,0,1,1,0,0,0,0,1,19.067,18.767,17.468,19.585
0,1,1,0,1,0,1,0,0,0,0,1,1,1,19.563,19.725,17.37,20.172
1,0,1,1,0,0,0,0,1,1,1,0,0,0,19.108,19.114,18.075,19.339
1,1,1,0,1,1,0,1,1,0,0,1,0,1,19.895,19.978,17.604,20.247
0,1,1,1,1,1,1,0,0,1,0,0,0,0,18.934,19.09,17.656,19.436
1,0,1,0,1,1,0,1,1,1,1,1,1,0,19.681,19.897,17.909,20.044
0,0,1,0,1,0,0,1,1,0,0,1,0,0,19.715,19.781,17.422,20.047
1,0,0,1,1,1,0,1,0,1,0,0,1,0,18.958,19.062,17.703,19.394
1,0,1,1,1,0,0,0,1,0,0,1,0,1,19.599,19.961,17.378,20.169
1,0,0,0,1,1,1,1,1,1,1,1,0,0,19.816,20.108,17.93,20.7
0,0,0,0,1,0,0,1,0,0,0,0,1,0,18.924,19.284,17.107,19.279
0,1,1,0,0,0,1,0,0,1,1,1,1,1,19.718,19.799,17.924,19.903
0,1,1,1,0,1,1,0,1,1,0,1,0,0,19.887,19.898,17.904,19.968
0,0,0,0,1,1,1,1,1,0,0,1,1,1,19.608,19.667,17.754,19.749
1,1,1,0,0,1,1,0,1,0,0,1,1,1,19.808,19.881,17.513,19.985
0,1,1,0,0,1,1,0,1,0,0,0,0,0,19.108,19.035,17.357,19.301
1,1,1,0,0,1,0,1,1,1,1,0,1,0,19.251,18.906,17.944,19.552
0,1,1,1,0,1,0,0,1,0,0,0,1,0,19.035,19.025,17.297,19.453
1,1,1,1,0,1,0,0,1,0,1,1,1,1,19.763,19.865,17.645,19.923
1,1,1,0,1,0,1,1,0,1,1,1,0,0,19.718,19.785,17.552,19.99
1,1,0,1,0,0,1,0,0,0,0,1,0,0,20.001,19.604,17.543,20.281
1,1,0,0,1,0,0,0,1,1,1,0,1,1,18.802,19.321,17.551,19.426
1,1,0,0,0,1,0,1,0,0,0,1,0,0,19.751,19.99,17.458,20.063
0,1,0,1,1,1,1,0,0,1,1,0,0,0,18.823,18.853,17.925,19.157
0,1,0,0,1,1,0,0,0,0,0,1,1,1,19.555,20.005,17.463,19.915
0,0,1,0,1,1,1,1,0,1,0,0,1,0,19.052,19.192,17.693,19.472
0,0,0,0,0,1,1,1,1,0,1,0,1,1,19.033,19.076,17.259,19.119
0,1,1,1,1,1,0,0,0,1,0,1,0,1,19.84,19.7,17.989,20.048
1,1,1,1,1,0,1,0,1,0,0,1,1,1,19.988,20.037,17.444,20.271
0,1,1,1,0,1,1,0,0,1,1,0,1,1,19.529,19.252,17.586,19.362
0,0,0,0,0,0,1,0,1,0,1,0,0,0,19.083,18.943,17.187,19.286
0,0,0,1,0,0,0,0,1,0,1,0,0,1,18.656,19.032,17.067,19.254
0,1,0,0,0,0,0,0,0,1,1,0,1,1,18.878,19.142,17.654,19.275
1,1,0,0,1,1,1,1,1,1,1,0,0,1,19.044,18.941,17.755,19.453
0,1,0,1,0,0,1,0,1,0,0,0,1,0,19.2,19.217,17.112,19.347
1,1,1,1,0,0,1,0,0,1,1,1,0,1,19.795,19.907,18.256,19.951
1,1,0,1,0,0,0,0,0,1,1,0,1,0,19.092,19.162,17.644,19.512
1,0,0,1,1,1,1,1,0,0,0,0,0,1,18.869,19.138,17.104,19.438
0,0,0,1,0,1,1,1,1,0,0,1,0,1,19.575,19.841,17.447,20.17
1,1,0,0,0,0,1,0,1,1,0,0,1,0,19.003,19.115,17.878,19.516
0,0,0,1,1,1,0,1,1,0,1,0,1,0,18.836,19.164,17.173,19.328
1,1,0,0,1,1,1,1,0,0,1,0,1,1,19.084,19.133,17.089,19.257
0,1,0,1,0,1,0,1,1,1,0,1,0,1,19.758,19.703,17.914,20.122
0,0,1,1,1,0,0,0,0,1,1,1,1,1,19.861,19.754,17.923,20.208
1,0,0,0,1,0,1,1,1,0,0,1,1,0,19.868,20.02,17.54,19.79
0,0,1,1,1,1,1,1,0,0,1,1,0,1,19.972,19.729,17.567,19.863
0,0,1,1,0,0,1,1,1,1,1,0,1,1,19.137,19.39,17.846,19.391
0,1,0,0,1,1,1,0,0,1,1,1,1,1,19.793,19.536,17.954,20.481
1,0,1,0,1,1,0,1,1,0,0,0,0,1,18.882,19.061,17.389,19.536
0,1,1,0,1,0,1,1,0,0,0,0,0,0,18.789,19.094,17.516,19.926
1,0,0,0,0,0,1,1,0,0,0,1,1,0,19.571,19.436,17.612,19.814
1,1,1,1,1,1,1,0,1,0,1,0,0,0,18.992,19.12,17.158,19.377
0,0,0,1,0,1,1,0,1,1,0,0,0,1,19.226,19.219,17.831,19.359
1,0,0,1,1,0,0,1,0,1,1,0,0,0,19.254,19.242,17.846,19.805
1,0,0,1,0,0,1,0,0,0,1,0,1,0,18.801,19.027,17.224,19.472
1,1,1,0,0,1,0,0,0,0,0,1,1,0,19.416,19.77,17.608,20.265
1,1,0,1,1,1,1,0,0,0,1,0,1,1,18.743,18.848,17.166,19.515
1,0,1,1,0,1,0,1,0,1,1,1,1,0,19.884,19.865,18.028,20.189
1,0,1,1,1,0,0,0,1,1,1,1,1,0,19.824,19.966,17.9,20.134
1,0,1,0,0,1,0,0,1,0,1,0,0,0,18.897,19.262,17.272,19.519
0,0,1,0,0,0,1,1,1,1,0,1,1,1,19.696,19.701,17.936,20.061
0,1,1,1,0,1,0,1,1,0,0,0,0,0,19.096,18.922,17.143,19.343
0,0,1,0,0,0,1,1,1,0,1,1,1,1,19.723,19.731,17.783,19.885
0,1,0,0,1,0,0,1,1,0,1,1,0,1,19.832,20.362,17.473,20.374
1,1,1,1,0,1,1,0,1,0,1,1,1,0,19.66,19.549,18.014,20.122
1,1,0,0,1,0,1,1,0,1,1,0,0,1,19.09,19.103,17.573,19.615
1,0,1,1,1,1,0,1,1,1,1,1,1,1,19.581,19.754,17.945,20.238
0,0,1,1,1,0,1,0,1,1,1,1,1,0,19.456,19.743,18.129,19.839
0,1,0,1,1,1,1,1,1,0,1,0,1,1,19.178,18.898,17.103,19.315
0,0,0,0,0,1,1,0,1,1,1,0,1,0,18.995,19.164,17.99,19.761
1,0,0,0,0,0,1,1,0,1,1,0,1,0,19.495,19.188,17.701,19.485
0,0,0,1,0,0,0,0,0,1,0,0,1,1,19.13,18.806,17.691,19.308
1,1,0,1,0,0,1,1,1,0,0,1,1,1,19.954,19.561,17.45,19.996
1,0,0,0,1,1,1,1,0,0,0,1,0,1,19.878,20.059,17.466,20.109
1,0,1,0,1,0,1,1,0,1,0,1,0,0,19.942,20.06,18.069,20.498
1,0,1,0,1,1,0,1,0,1,1,1,0,1,19.771,19.83,18.013,20.335
1,0,1,1,0,0,0,0,1,1,1,1,1,0,20.427,19.988,17.978,20.02
0,0,1,0,1,1,1,0,0,0,0,0,1,0,19.093,19.423,17.123,19.246
0,1,0,1,1,1,1,1,1,1,1,0,1,0,19.264,19.207,17.761,19.435
0,1,0,1,0,0,0,0,0,0,1,0,1,0,19.728,18.901,17.155,19.136
1,0,0,1,0,0,1,1,0,1,1,1,0,1,19.926,20.072,17.993,20.323
0,1,0,0,0,0,0,0,1,1,0,0,0,1,18.789,19.528,17.988,19.448
0,0,1,0,0,1,1,0,1,1,1,1,0,0,19.819,20.042,17.992,20.441
1,0,1,1,0,1,1,1,1,0,0,0,1,1,18.888,19.161,17.038,19.552
0,1,0,0,1,1,1,1,0,0,0,1,1,0,19.525,19.85,17.557,19.71
1,1,0,0,0,0,0,1,1,1,0,1,0,0,19.985,20.191,18.084,20.298
0,0,1,1,0,1,1,1,0,0,0,1,1,0,19.774,19.62,17.618,20.075
1,0,1,0,0,0,1,1,1,0,1,0,0,1,19.203,19.117,17.229,19.559
0,1,1,0,0,1,0,0,0,1,1,0,0,1,19.191,19.283,17.798,19.315
1,1,0,0,0,0,0,0,0,0,0,1,1,1,19.967,19.538,17.584,19.97
1,0,0,1,0,1,0,0,1,0,1,1,0,0,19.846,19.678,17.537,19.933
1,1,1,0,1,0,1,1,0,1,0,0,0,1,19.088,19.409,17.642,19.539
1,1,0,0,1,1,0,1,0,0,0,1,1,1,19.575,19.855,17.575,20.313
1,0,1,1,0,1,1,1,1,1,0,1,0,1,19.838,19.765,18.081,20.537
0,0,0,0,1,0,1,1,1,0,1,0,0,1,19.609,18.861,17.23,19.055
0,1,1,1,0,1,0,1,0,1,1,1,0,1,19.649,20.151,17.963,21.219
0,0,1,0,1,1,0,0,0,0,0,1,1,1,19.721,19.896,17.38,19.828
0,1,0,1,0,1,0,0,1,0,1,1,1,1,19.768,19.607,17.504,19.92
0,1,1,0,0,0,1,1,0,0,0,0,0,1,18.945,19.234,17.196,19.285
0,1,1,1,1,0,1,0,0,0,0,0,0,1,18.926,19.24,17.168,19.135
1,1,1,1,0,1,0,0,1,0,0,1,0,1,19.813,19.366,17.578,19.997
1,0,1,0,0,1,0,1,1,0,1,1,0,0,19.796,19.808,17.499,20.099
1,0,1,0,0,0,0,1,1,0,1,0,1,0,19.178,19.251,17.198,19.272
0,1,1,0,0,1,0,0,1,0,1,0,1,1,18.973,19.109,17.149,19.001
0,0,0,0,0,0,1,0,1,0,1,1,1,0,19.739,19.651,17.497,19.656
0,0,1,0,1,1,1,0,1,0,0,1,0,0,20.046,19.673,17.935,20.3
0,0,1,1,1,0,0,0,1,0,0,1,0,0,20.463,19.806,17.596,20.01
1,0,1,1,1,0,0,1,0,0,1,1,1,0,19.836,19.911,17.508,20.01
0,0,1,0,1,1,0,1,0,1,0,0,1,1,18.982,19.112,17.769,19.152
