SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,overwritebatch,overwritebatch,overwritebatch,overwritebatch
0,0,0,1,0,1,1,0,0,1,1,1,1,0,19.837,19.904,17.816,20.117
0,0,0,0,1,0,1,0,0,1,0,0,0,1,18.933,18.965,17.87,19.358
0,1,0,1,0,1,0,1,0,0,1,0,1,1,18.991,18.949,17.38,19.345
1,1,0,0,0,1,0,0,1,1,0,1,0,1,19.641,19.996,17.925,20.308
1,0,0,1,1,1,0,1,1,1,0,0,1,1,19.178,18.837,17.826,19.138
1,1,1,1,0,0,1,0,1,1,1,0,1,0,19.135,19.173,17.517,19.432
0,1,1,1,1,1,1,0,0,1,0,1,1,0,19.654,19.806,17.818,20.19
1,0,1,0,1,0,0,1,1,1,0,0,0,1,19.195,18.952,17.663,19.587
1,0,1,1,1,0,1,0,1,1,1,1,1,0,19.866,19.738,17.916,20.278
1,0,0,1,1,1,0,1,1,0,1,1,0,0,19.831,20.503,17.345,20.249
0,1,0,1,0,1,1,0,0,1,0,1,0,0,20.053,19.798,17.85,20.027
0,0,0,1,0,1,0,1,0,1,1,1,0,0,19.674,19.68,17.952,19.993
0,1,0,0,1,1,0,0,1,0,1,0,1,0,19.023,19.09,17.116,18.978
0,1,1,1,1,0,0,1,0,1,0,0,1,0,19.243,19.261,17.511,19.104
1,1,0,1,1,0,0,1,1,0,1,0,0,0,19.706,18.864,17.087,19.341
0,0,1,0,1,1,0,1,1,1,0,0,0,0,18.893,19.072,17.831,19.336
1,0,0,0,1,0,0,1,1,0,0,1,0,1,19.642,19.703,17.433,19.918
